# VolumeName  Mass_kg  MaterialName
av_1_impr_1_ConnectorSupport_pv_11 0.0134852 CopperCryoCubeConnectorSupport
av_1_impr_1_Connector_pv_12 0.0029 ConnectorsMaterial
av_1_impr_1_Connector_pv_13 0.0029 ConnectorsMaterial
av_1_impr_1_Connector_pv_14 0.0029 ConnectorsMaterial
av_2_impr_1_CrystalBolo_pv_0 0.0418654 Germanium
av_2_impr_1_BoloKaptonSupport_pv_1 0.00275215 CopperKaptonSupport
av_2_impr_1_BoloKaptonSupport_pv_2 0.00275215 CopperKaptonSupport
av_2_impr_1_BoloKapton_pv_3 2.08869e-05 BoloKapton
av_2_impr_1_BoloKapton_pv_4 2.08869e-05 BoloKapton
av_2_impr_1_SideBoloKaptonSupport_pv_5 0.000953344 CopperSideKaptonSupport
av_2_impr_1_SideBoloKapton_pv_6 7.2352e-06 BoloKapton
av_2_impr_1_Support_pv_7 0.117876 CopperInnerSupport
av_2_impr_1_Support_pv_8 0.158702 CopperOuterSupport
av_2_impr_2_CrystalBolo_pv_0 0.0418654 Germanium
av_2_impr_2_BoloKaptonSupport_pv_1 0.00275215 CopperKaptonSupport
av_2_impr_2_BoloKaptonSupport_pv_2 0.00275215 CopperKaptonSupport
av_2_impr_2_BoloKapton_pv_3 2.08869e-05 BoloKapton
av_2_impr_2_BoloKapton_pv_4 2.08869e-05 BoloKapton
av_2_impr_2_SideBoloKaptonSupport_pv_5 0.000953344 CopperSideKaptonSupport
av_2_impr_2_SideBoloKapton_pv_6 7.2352e-06 BoloKapton
av_2_impr_2_Support_pv_7 0.117876 CopperInnerSupport
av_2_impr_2_Support_pv_8 0.158702 CopperOuterSupport
av_2_impr_3_CrystalBolo_pv_0 0.0418654 Germanium
av_2_impr_3_BoloKaptonSupport_pv_1 0.00275215 CopperKaptonSupport
av_2_impr_3_BoloKaptonSupport_pv_2 0.00275215 CopperKaptonSupport
av_2_impr_3_BoloKapton_pv_3 2.08869e-05 BoloKapton
av_2_impr_3_BoloKapton_pv_4 2.08869e-05 BoloKapton
av_2_impr_3_SideBoloKaptonSupport_pv_5 0.000953344 CopperSideKaptonSupport
av_2_impr_3_SideBoloKapton_pv_6 7.2352e-06 BoloKapton
av_2_impr_3_Support_pv_7 0.117876 CopperInnerSupport
av_2_impr_3_Support_pv_8 0.158702 CopperOuterSupport
av_3_impr_1_MiniCryoCubeBottomPlate_pv_0 1.00639 CopperCryoCubeBottomPlate
av_3_impr_1_electronicPlate_pv_1 0.192265 CopperCryoCubeElectronicPlate
av_3_impr_1_BoloKaptonBand_pv_2 0.000460006 BoloKaptonBand
av_3_impr_1_BoloKaptonBand_pv_3 0.000460006 BoloKaptonBand
av_3_impr_1_BoloKaptonBand_pv_4 0.000460006 BoloKaptonBand
av_3_impr_1_ElectronicBoard_pv_5 0.001359 PCB
av_3_impr_1_ElectronicBoard_pv_6 0.001359 PCB
av_3_impr_1_ElectronicBoard_pv_7 0.001359 PCB
av_3_impr_1_ElectronicCoverPlate_pv_8 0.119992 CopperCryoCubeElectronicCoverPlate
av_3_impr_1_ConnectorSupport_pv_9 0.0134847 CopperCryoCubeConnectorSupport
av_3_impr_1_ConnectorSupport_pv_10 0.0134847 CopperCryoCubeConnectorSupport
av_3_impr_1_ConnectorSupport_pv_11 0.0134847 CopperCryoCubeConnectorSupport
av_3_impr_1_Connector_pv_12 0.0029 ConnectorsMaterial
av_3_impr_1_Connector_pv_13 0.0029 ConnectorsMaterial
av_3_impr_1_Connector_pv_14 0.0029 ConnectorsMaterial
av_4_impr_1_CrystalBolo_pv_0 0.0418654 Germanium
av_4_impr_1_BoloKaptonSupport_pv_1 0.00275215 CopperKaptonSupport
av_4_impr_1_BoloKaptonSupport_pv_2 0.00275215 CopperKaptonSupport
av_4_impr_1_BoloKapton_pv_3 2.08869e-05 BoloKapton
av_4_impr_1_BoloKapton_pv_4 2.08869e-05 BoloKapton
av_4_impr_1_SideBoloKaptonSupport_pv_5 0.000953344 CopperSideKaptonSupport
av_4_impr_1_SideBoloKapton_pv_6 7.2352e-06 BoloKapton
av_4_impr_1_Support_pv_7 0.117876 CopperInnerSupport
av_4_impr_1_Support_pv_8 0.158702 CopperOuterSupport
av_4_impr_2_CrystalBolo_pv_0 0.0418654 Germanium
av_4_impr_2_BoloKaptonSupport_pv_1 0.00275215 CopperKaptonSupport
av_4_impr_2_BoloKaptonSupport_pv_2 0.00275215 CopperKaptonSupport
av_4_impr_2_BoloKapton_pv_3 2.08869e-05 BoloKapton
av_4_impr_2_BoloKapton_pv_4 2.08869e-05 BoloKapton
av_4_impr_2_SideBoloKaptonSupport_pv_5 0.000953344 CopperSideKaptonSupport
av_4_impr_2_SideBoloKapton_pv_6 7.2352e-06 BoloKapton
av_4_impr_2_Support_pv_7 0.117876 CopperInnerSupport
av_4_impr_2_Support_pv_8 0.158702 CopperOuterSupport
av_4_impr_3_CrystalBolo_pv_0 0.0418654 Germanium
av_4_impr_3_BoloKaptonSupport_pv_1 0.00275215 CopperKaptonSupport
av_4_impr_3_BoloKaptonSupport_pv_2 0.00275215 CopperKaptonSupport
av_4_impr_3_BoloKapton_pv_3 2.08869e-05 BoloKapton
av_4_impr_3_BoloKapton_pv_4 2.08869e-05 BoloKapton
av_4_impr_3_SideBoloKaptonSupport_pv_5 0.000953344 CopperSideKaptonSupport
av_4_impr_3_SideBoloKapton_pv_6 7.2352e-06 BoloKapton
av_4_impr_3_Support_pv_7 0.117876 CopperInnerSupport
av_4_impr_3_Support_pv_8 0.158702 CopperOuterSupport
